,attention_type,total_params,allocated_mb,reserved_mb,peak_mb,loss,perplexity,tokens_per_sec,total_tokens,total_time
mha,mha,40263104,0.0,0.0,0.0,6.234660307876766,510.1272277832031,285878.13522056077,1748157,6.115042686462402
mha_genetic,mha_genetic,40263104,0.0,0.0,0.0,6.2968811290338635,542.8761596679688,128255.11254295077,1764634,13.75878095626831
gqa,gqa,39819968,0.0,0.0,0.0,6.255129229277372,520.6766967773438,276654.9783422842,1750653,6.327928781509399
gqa_genetic,gqa_genetic,39819968,0.0,0.0,0.0,6.250119743868709,518.0748291015625,94836.3438638332,1749643,18.449076890945435
mla,mla,39935072,0.0,0.0,0.0,6.248515325132757,517.2442016601562,243140.7644320776,1747990,7.189209938049316
mla_genetic,mla_genetic,39935072,0.0,0.0,0.0,6.253089340869337,519.6156616210938,73210.15859926266,1751077,23.918497562408447
sla,sla,39936096,0.0,0.0,0.0,6.258026736788452,522.1874389648438,221975.53373278692,1745265,7.862420558929443
sla_genetic,sla_genetic,39936096,0.0,0.0,0.0,6.28775270562619,537.9429931640625,133858.86087229484,1752862,13.094852209091187
