Dataset,Architecture,Network_Type,Parameter,Final_Bal_Acc,Best_Bal_Acc,Epochs_Trained,Num_Params,Training_Time,Param_Time_Ratio,Bal_Acc_Param_Ratio
digits,heads,classical,1,0.8347193002700806,0.8347193002700806,129,650,2.4632179737091064,263.88245252255604,0.001284183538877047
digits,heads,classical,2,0.939975917339325,0.939975917339325,129,4810,2.535115957260132,1897.349107927389,0.0001954211886360343
digits,heads,classical,3,0.9458209872245789,0.9482019543647766,129,7210,2.657956838607788,2712.609887140428,0.00013118182901866558
digits,heads,genetic,1,0.7774060964584351,0.7774060964584351,129,2948,2.813945770263672,1047.6392371000693,0.000263706274239632
digits,heads,genetic,2,0.9661852717399597,0.9661852717399597,129,6854,3.094435930252075,2214.9432576688273,0.00014096662850014003
digits,heads,genetic,3,0.9728772044181824,0.9758184552192688,129,10276,3.3601410388946533,3058.2049625453747,9.467469875614853e-05
iris,feedforward,classical,2,0.9791666865348816,0.9791666865348816,129,643,2.274648904800415,282.68098810458787,0.00152280977688162
iris,feedforward,classical,4,0.9791666865348816,0.9791666865348816,129,9219,2.2153127193450928,4161.489219781752,0.00010621181110043189
iris,feedforward,classical,6,0.9791666865348816,0.9791666865348816,129,17795,2.366199016571045,7520.500125043352,5.5024820822415375e-05
iris,feedforward,genetic,2,0.6190476417541504,0.6190476417541504,129,2135,2.619734764099121,814.9679995311234,0.0002899520570277051
iris,feedforward,genetic,4,0.6190476417541504,0.6190476417541504,129,5367,3.098773956298828,1731.9753152986798,0.00011534332807045842
iris,feedforward,genetic,6,0.6190476417541504,0.6190476417541504,129,6983,3.203918218612671,2179.5188027688514,8.865067188230709e-05
iris,heads,classical,1,0.2202380895614624,0.2202380895614624,129,15,2.090825319290161,7.174200475577044,0.014682539304097493
iris,heads,classical,2,0.9791666865348816,0.9791666865348816,129,515,2.2313528060913086,230.80169061302885,0.0019012945369609351
iris,heads,classical,3,0.9791666865348816,0.9791666865348816,129,771,2.1748478412628174,354.5075592747315,0.0012699957023798725
iris,heads,genetic,1,0.6220238208770752,0.6845238208770752,129,859,2.3901870250701904,359.3861028405401,0.0007241255190652796
iris,heads,genetic,2,0.6220238208770752,0.7648809552192688,129,2319,2.6561601161956787,873.0648374170377,0.0002682293319866646
iris,heads,genetic,3,0.6696428656578064,0.6696428656578064,129,3477,2.8844661712646484,1205.4223532375713,0.00019259213852683532
olivetti,feedforward,classical,2,0.9901961088180542,0.9901961088180542,129,264936,2.4683072566986084,107335.09747662258,3.737491729391454e-06
olivetti,feedforward,classical,4,1.0,1.0,129,273512,2.643275022506714,103474.6659621588,3.6561467138553334e-06
olivetti,feedforward,classical,6,0.9901961088180542,0.9901961088180542,129,282088,2.858855962753296,98671.63777230938,3.510238325692884e-06
olivetti,feedforward,genetic,2,0.2867647111415863,0.30882352590560913,129,141448,3.105177640914917,45552.30532908366,2.0273507659463995e-06
olivetti,feedforward,genetic,4,0.14705882966518402,0.1764705926179886,129,144680,3.518827199935913,41115.97182226936,1.016442007638817e-06
olivetti,feedforward,genetic,6,0.14705882966518402,0.1764705926179886,129,146296,3.8495161533355713,38003.73713803898,1.0052142892846287e-06
olivetti,heads,classical,1,0.9901961088180542,0.9901961088180542,129,163880,2.429263114929199,67460.78635651465,6.042202274945412e-06
olivetti,heads,classical,2,0.9754902124404907,0.9754902124404907,129,264808,2.4909889698028564,106306.37197119248,3.6837641326564557e-06
olivetti,heads,classical,3,0.9754902124404907,0.9754902124404907,129,397192,2.574923038482666,154253.93072487897,2.455966415336892e-06
olivetti,heads,genetic,1,0.6936274766921997,0.7279411554336548,129,140246,2.7556989192962646,50893.07798393856,4.945791514140865e-06
olivetti,heads,genetic,2,0.9328431487083435,0.9647059440612793,129,282980,3.122853994369507,90615.82786457894,3.2964985112316897e-06
olivetti,heads,genetic,3,0.9509804844856262,0.960784375667572,129,424450,3.4784491062164307,122022.771367117,2.2405006113455676e-06
synthetic,feedforward,classical,2,0.5280926823616028,0.5298940539360046,129,3847,2.5634429454803467,1500.7160611016197,0.00013727389715664226
synthetic,feedforward,classical,4,0.5856593251228333,0.6059880256652832,129,12423,2.734428882598877,4543.179045195294,4.7143147800276364e-05
synthetic,feedforward,classical,6,0.6002212762832642,0.6103023886680603,129,20999,2.8230199813842773,7438.487909569478,2.858332664809106e-05
synthetic,feedforward,genetic,2,0.30962541699409485,0.30962541699409485,129,3719,3.0484530925750732,1219.9630065025885,8.325501935845519e-05
synthetic,feedforward,genetic,4,0.22567203640937805,0.22924348711967468,129,6951,3.5678200721740723,1948.2484708833333,3.246612522074206e-05
synthetic,feedforward,genetic,6,0.1428571492433548,0.19447438418865204,129,8567,3.7461588382720947,2286.8758026158616,1.6675282974594934e-05
synthetic,heads,classical,1,0.44661790132522583,0.44661790132522583,129,357,2.543548107147217,140.3551200768924,0.0012510305359250023
synthetic,heads,classical,2,0.46760082244873047,0.46760082244873047,129,3719,2.536900043487549,1465.9623699195436,0.0001257329449983142
synthetic,heads,classical,3,0.4572334885597229,0.4756191670894623,129,5575,2.6217172145843506,2126.468853691326,8.201497552640769e-05
synthetic,heads,genetic,1,0.4259593188762665,0.42866867780685425,129,2451,2.722083806991577,900.4131297150706,0.00017379001178142246
synthetic,heads,genetic,2,0.5873968005180359,0.596136212348938,129,5707,3.0838682651519775,1850.5978561048394,0.00010292567032031468
synthetic,heads,genetic,3,0.579737663269043,0.5837974548339844,129,8557,3.347364664077759,2556.339347137597,6.775010672771333e-05
wine,feedforward,classical,2,0.948863685131073,0.9696969985961914,129,1219,2.1980390548706055,554.585232368294,0.0007783951477695431
wine,feedforward,classical,4,0.9185605645179749,0.948863685131073,129,9795,2.2099499702453613,4432.227033136186,9.377851603042112e-05
wine,feedforward,classical,6,0.948863685131073,0.948863685131073,129,18371,2.3865060806274414,7697.864316846844,5.165008356273872e-05
wine,feedforward,genetic,2,0.939393937587738,0.939393937587738,129,2441,2.704102039337158,902.70262160608,0.00038483979417768867
wine,feedforward,genetic,4,0.6666666865348816,0.6666666865348816,129,5673,3.040130853652954,1866.03809937439,0.00011751572122948732
wine,feedforward,genetic,6,0.6458333134651184,0.676136314868927,129,7289,3.3658218383789062,2165.5929368830257,8.860382953287397e-05
wine,heads,classical,1,0.7281144261360168,0.7281144261360168,129,42,2.1753361225128174,19.307361085644146,0.01733605776514326
wine,heads,classical,2,0.9696969985961914,0.9696969985961914,129,1091,2.319406032562256,470.3790473437583,0.0008888148474758858
wine,heads,classical,3,0.9696969985961914,0.9696969985961914,129,1635,2.281263828277588,716.7079842906493,0.0005930868492943067
wine,heads,genetic,1,0.939393937587738,0.939393937587738,129,1165,2.8319308757781982,411.3800975738381,0.0008063467275431227
wine,heads,genetic,2,0.9696969985961914,0.9696969985961914,129,2931,2.857990026473999,1025.545916133261,0.00033084169177625093
wine,heads,genetic,3,0.948863685131073,0.9696969985961914,129,4395,2.9449589252471924,1492.3807467471197,0.00021589617409125666
